ID	title	owner	planner	meno	max	min	project_tagid	part_num	partors
100000	2020万圣节	5893	2957	森林公园烧烤	360	225	23,42	14	5874,13965,12775,3845
100003	2019端午	10495	12709	踏青	380	85	38,43	15	3834,12045,3904,2227
100004	2020万圣节	12430	6884	森林公园烧烤	337	222	10,21	10	12289,14097,4946,6992
100005	2018五一	8503	10936	踏青	270	75	25,32	1	8507,12828,10746,4091
100006	2018暑假	5871	10205	逛三坊七巷	367	83	13,28	13	4021,3611,3933,11087
100007	2018元宵节	10667	11276	森林公园烧烤	466	78	6,35	13	3658,13635,5599,5138
100008	2022圣诞	1043	4460	逛三坊七巷	260	235	37,30	4	3079,9405,8200,5407
100009	2022情人节	7172	1423	爬鼓山	348	131	35,36	10	13814,6887,10515,5627
100010	2020七夕	2815	9993	爬鼓山	264	78	47,35	13	4250,1223,5331,11594
100011	2022儿童节	7224	12449	踏青	276	114	2,32	14	4730,10340,1475,9856
100012	2022元宵节	14320	1266	逛三坊七巷	478	231	21,20	7	4823,4118,10918,12413
100013	2022新年	9637	4673	爬鼓山	300	246	24,9	7	7241,1918,13158,11533
100014	2022儿童节	6086	14455	吃饭	340	181	17,10	8	1277,3908,6697,8644
100015	2022七夕	13643	5106	逛三坊七巷	381	143	28,45	2	11092,5531,6784,6158
100016	2022新年	7953	7717	吃饭	354	224	45,5	14	9004,11170,10461,7804
100017	2019国庆	2525	6543	踏青	397	200	20,38	10	14375,1319,8648,11602
100018	2019暑假	9643	6162	森林公园烧烤	464	171	9,40	2	12163,2921,14464,9113
100019	2018万圣节	4110	8290	踏青	378	138	10,28	10	14344,13816,6904,9949
100020	2022圣诞	3684	4185	逛三坊七巷	408	74	26,14	15	4285,12407,14458,6575
100021	2022七夕	12900	8515	踏青	434	50	44,46	8	14207,3004,7117,4181
100022	2021圣诞	1860	9769	吃饭	368	225	14,7	6	12135,13469,12073,9184
100023	2019除夕	2790	10814	踏青	487	125	30,8	4	5347,3069,13180,4729
100024	2022七夕	13734	7300	踏青	493	97	28,37	11	5168,10946,5484,7011
100025	2021万圣节	1744	7602	吃饭	486	182	4,49	11	1063,7676,7428,10185
100026	2021端午	1616	4043	森林公园烧烤	309	142	40,11	14	13204,9292,11920,5657
100027	2021儿童节	12902	1997	森林公园烧烤	412	69	6,32	5	12347,4162,12130,11912
100028	2022元旦	1856	10660	爬鼓山	492	67	31,15	15	1302,3728,1755,2772
100029	2020平安夜	6275	14361	吃饭	497	112	19,22	7	1924,12816,10497,6098
100030	2022平安夜	12942	1030	森林公园烧烤	400	195	18,8	12	3512,11337,12940,14041
100031	2020端午	6722	4945	森林公园烧烤	335	186	3,29	5	9414,14279,3402,10887
100032	2022五一	12986	6753	踏青	439	145	18,6	9	6555,6391,5105,8706
100033	2018跨年夜	7193	3930	逛三坊七巷	405	180	11,16	7	9659,9648,12442,10232
100034	2018元宵节	7874	10004	踏青	281	138	17,43	5	2398,5632,10997,13753
100035	2021暑假	11224	11527	逛三坊七巷	433	175	1,19	4	14278,11385,9399,10268
100036	2020暑假	3300	12728	森林公园烧烤	347	175	31,22	7	8001,12537,4117,4076
100037	2022新年	2300	5082	踏青	395	178	48,16	9	4117,2970,8704,5576
100038	2021七夕	6197	9195	踏青	477	150	32,15	14	8940,12211,12556,2374
100039	2022新年	14404	6523	爬鼓山	314	155	25,26	7	1545,3459,9607,7884
100040	2018情人节	5020	8348	逛三坊七巷	286	159	32,29	2	12002,8614,4472,12773
100041	2020七夕	4016	10562	吃饭	381	221	6,27	15	11727,9242,11298,8762
100042	2019跨年夜	9771	7579	森林公园烧烤	345	155	1,11	6	13831,8010,6476,13510
100043	2020七夕	9135	11420	吃饭	309	199	13,29	10	11280,4265,3731,13506
100044	2019万圣节	8824	3139	森林公园烧烤	452	170	26,14	15	7207,11341,13703,13242
100045	2021圣诞	5759	12749	爬鼓山	309	116	22,48	11	10695,14084,2515,3232
100046	2020端午	6768	12435	逛三坊七巷	457	184	26,24	4	11465,1760,14238,5521
100047	2018新年	4325	6254	森林公园烧烤	292	110	2,2	3	14434,4635,12062,11651
100048	2018除夕	7377	8037	逛三坊七巷	352	196	14,49	1	3276,3294,3972,11058
100049	2022国庆	5870	1296	逛三坊七巷	287	92	24,39	3	4565,10599,12965,2198
100050	2018元宵节	1323	10865	森林公园烧烤	369	131	41,19	6	6354,7642,2037,9583
100051	2018国庆	9115	5903	踏青	323	240	34,9	13	5239,12719,12167,3184
100052	2021万圣节	3250	7404	吃饭	490	176	8,47	10	9660,9652,8446,4802
100053	2019跨年夜	3574	1839	逛三坊七巷	415	100	11,32	5	7107,2813,13713,7308
100054	2020儿童节	14015	12696	爬鼓山	448	239	4,32	2	13770,11443,5630,7976
100055	2018儿童节	8735	4881	逛三坊七巷	465	197	7,33	7	7043,13937,3622,1936
100056	2022跨年夜	6881	10403	吃饭	384	179	27,16	10	9417,7689,12003,3024
100057	2021除夕	4553	3914	吃饭	367	159	3,6	7	10475,13169,12118,13526
100058	2021除夕	13208	11285	吃饭	429	225	3,7	5	3468,4801,11816,10522
100059	2018万圣节	3657	5151	爬鼓山	481	190	14,18	9	11379,2186,13534,4698
100060	2018平安夜	10448	4007	逛三坊七巷	296	127	1,22	13	4065,5333,6954,7229
100061	2021国庆	8878	1911	逛三坊七巷	330	53	24,43	2	2338,5944,13369,7010
100062	2021端午	14072	3700	踏青	368	59	1,19	4	9222,8268,7276,12348
100063	2018元旦	1778	11601	爬鼓山	417	96	42,40	11	3496,9120,8387,2088
100064	2019元旦	11791	13902	踏青	446	184	21,15	5	14483,10802,9940,9271
100065	2020圣诞	8342	13047	逛三坊七巷	486	215	9,41	5	2655,13029,2595,5143
100066	2021端午	13476	14147	踏青	435	195	34,49	10	12289,3167,7334,13066
100067	2020元旦	4315	1267	爬鼓山	477	79	30,5	4	10259,2474,2221,10361
100068	2018情人节	12575	4086	吃饭	376	159	40,31	2	12247,2900,9302,10352
100069	2021圣诞	4586	11560	踏青	428	171	16,33	3	1595,13467,9410,10980
100070	2020国庆	1431	3584	吃饭	354	89	44,47	14	12979,1422,4104,13988
100071	2020元宵节	2006	7587	逛三坊七巷	415	121	25,38	9	5183,14367,2118,11582
100072	2018七夕	14065	11126	吃饭	315	156	40,31	10	7760,10447,4090,3886
100073	2018国庆	11804	6848	森林公园烧烤	376	79	20,8	3	5515,5058,9732,6500
100074	2019跨年夜	1732	3474	森林公园烧烤	377	115	27,4	12	4199,1999,12388,10531
100075	2019五一	4734	14078	踏青	304	225	17,1	15	12375,3126,10391,11430
