ID	city	name	address	avg_score	price	type
10000	15	32WRg	bxcPU	3.4	457	1
10001	18	xdQKV	4ErJe	3.4	457	1
10002	12	F6dR6	FWq0c	4.1	83	1
10003	7	BlfMu	yHs7S	4.1	99	1
10004	16	TNYdw	zcoip	4.3	356	1
10005	5	gGUIC	TlHRo	4.3	462	3
10006	4	fpc5P	fivUU	5	266	1
10007	14	R7PEW	Yeh7C	5	224	3
10008	5	wnOTB	6sPxb	1.4	291	3
10009	3	NLcEk	jerti	1.4	431	1
10010	17	VfLFp	quejD	4.1	388	2
10011	3	wlppc	Qyu0Z	4.1	498	3
10012	20	xxrPD	IfwJW	1.4	468	2
10013	9	0KIXy	ZnL3F	1.4	231	1
10014	14	GncRu	M1eBD	3	186	2
10015	8	EqwP0	uuSEz	3	444	1
10016	15	zvdAf	zWz9r	3.9	389	1
10017	10	F4jaw	XI4aB	3.9	31	1
10018	12	Psb6Y	vUv1w	2.9	28	1
10019	10	GJOZr	pRs3b	2.9	406	3
10020	1	erBy1	duH0N	1.8	162	3
10021	14	Jo8qa	M3CfI	1.8	290	3
10022	12	mrnf4	biJ75	2.2	393	3
10023	13	YALcU	N6G3e	2.2	31	2
10024	3	EMYwc	5xwPa	4.6	287	2
10025	17	Wgixq	EtVwJ	4.6	328	1
10026	6	T3Afs	E6Hov	3.3	408	1
10027	7	cgWbz	HROAk	3.3	325	1
10028	10	0SwyX	DybIK	4.9	406	1
10029	20	AvVei	h4ORu	4.9	233	1
10030	1	xwhEP	SSjuA	2.1	272	3
10031	4	UXRZo	eO4WL	2.1	362	2
10032	7	XKneV	RthWp	4.1	450	2
10033	20	djqye	hk7LL	4.1	283	3
10034	13	KSSJW	dh8NL	4.8	60	2
10035	14	aoBDw	4BwcL	4.8	482	3
10036	18	V43wq	lRgkh	4.2	457	2
10037	12	oh6c6	kr7jP	4.2	154	3
10038	9	dyyka	WiWvW	3	220	3
10039	4	264gP	KNy12	3	300	1
10040	18	52Q0R	gdRND	2.8	281	3
10041	8	JjS9b	oBRuq	2.8	396	3
10042	20	HUQ6Y	Oofg5	2.9	187	1
10043	16	CkhXv	Zc8Qd	2.9	485	3
10044	3	QIoR6	4uolC	3.3	154	1
10045	12	o07Di	qA3aI	3.3	289	2
10046	7	HnXVT	8DWLN	2.7	454	1
10047	11	LatMC	blHzZ	2.7	367	2
10048	19	iy3T4	yiJTv	4.8	243	3
10049	14	4JWKO	0xa9T	4.8	66	3
10050	11	s9oZP	LjIsS	2.2	69	2
10051	19	JSVYM	U6J8K	2.2	340	2
10052	13	wMeWO	XziuS	3.1	383	3
10053	15	SYz7P	gEHKk	3.1	339	1
10054	8	BNwmL	VxXf5	3.5	401	2
10055	15	YF0z9	Hrrgz	3.5	257	1
10056	8	ou8f1	Zd5cd	1.5	192	2
10057	10	7kBQV	aIwgx	1.5	86	3
10058	17	lxD85	8Ojms	3	431	3
10059	5	KBJv7	SCbD0	3	410	2
10060	11	tnrxl	TWu78	1.4	265	3
10061	10	k0Hey	bASPk	1.4	433	1
10062	6	OLTFE	R0uWR	3.9	16	3
10063	16	eLATa	DXJDQ	3.9	462	3
10064	2	Lh2k8	PVtoP	3.5	160	1
10065	16	MIdDz	GbgxM	3.5	81	1
10066	1	pYRyT	08GOY	1	379	1
10067	7	pzpPQ	IDFqT	1	205	2
10068	13	QR4QR	RPT3G	2	41	3
10069	11	lkWtq	TFhRk	2	98	1
10070	16	l6Ul8	xppS3	2.3	429	1
10071	11	Eiyf3	OXQ7j	2.3	371	3
10072	4	qDxo6	f8QfE	1.4	416	2
10073	5	KlJtT	HIU4O	1.4	169	3
10074	5	AYfsY	AMSHt	1.7	244	1
10075	9	9vQxu	Ib1cV	1.7	31	2
10076	11	RWGl2	qpAaZ	2.9	51	2
10077	8	VKLuz	vkOLf	2.9	334	1
10078	20	FJauf	G7k0D	2.9	347	2
10079	13	MkqSo	GAKwi	2.9	346	2
10080	11	9tecG	SAiry	1.9	192	1
10081	20	0wTEx	lIr10	1.9	174	2
10082	3	tZVaM	izcnN	2.7	115	3
10083	9	11IDu	0EZqi	2.7	138	1
10084	17	kAm2A	GhShN	2.5	375	3
10085	7	HuzMz	k4B3B	2.5	276	1
10086	15	YjycN	OT55A	4.3	311	3
10087	9	Qbl74	8cDH0	4.3	39	1
10088	1	G8FYK	M87rL	3.1	384	1
10089	16	TuMV9	VFWR8	3.1	494	3
10090	14	Sv4R6	lEbjb	4.7	315	2
10091	7	TdMpT	ee9nY	4.7	393	2
10092	4	2nXlM	nA64R	4.4	421	1
10093	4	8Q011	iViUT	4.4	208	1
10094	16	VMR5k	KJfgS	2.7	425	1
10095	4	7078F	A8eWH	2.7	67	2
10096	3	sTC8L	7bByD	5	339	3
10097	4	uaWsO	mj0yG	5	161	3
10098	8	baOlU	l7z5i	4	205	1
10099	10	yJsiN	i5ucv	4	382	1
10100	18	8pw9S	URtHb	3.4	470	3
10101	11	arQl9	uyGAh	3.4	327	1
10102	15	3S79Q	3qCuR	1.7	355	3
10103	13	dWz2Y	6fvjD	1.7	410	1
10104	3	3Tvha	JBP1n	1.7	459	1
10105	12	hEnVo	0HS3p	1.7	435	3
10106	1	kcAfz	bIRm6	2.4	297	2
10107	7	XLAiz	oN6yh	2.4	59	3
10108	3	d6EOf	yDuJn	3.5	496	1
10109	8	Ndsi8	Gealt	3.5	144	3
10110	4	mUn3Y	H1fhj	1.2	255	3
10111	4	Pwudx	bKNgc	1.2	456	1
10112	14	udDyc	dHRRl	4.6	301	1
10113	7	QwmkT	PYv6X	4.6	218	2
10114	17	4zVu1	nVEAE	3.2	290	2
10115	2	58iuX	5polJ	3.2	498	1
10116	9	ZZsKC	HFNMN	3.4	345	3
10117	15	gcIaa	S2Exr	3.4	33	3
10118	6	vWrLh	gyCRj	4.4	424	2
10119	16	uEbJ7	G0uE3	4.4	433	3
10120	10	eRx1a	sOFaY	1.6	121	3
10121	3	8PL4D	I6yV3	1.6	196	3
10122	13	mvFy4	Iexh5	2.3	321	1
10123	4	A81tw	3ajTo	2.3	252	2
10124	10	qdjZP	Hi1Pd	4.4	478	2
10125	18	a7PYR	LMGJr	4.4	426	1
10126	18	zzk25	SDLG6	1.7	91	3
10127	9	d9xkm	o3N0v	1.7	137	2
10128	3	1UhQt	i7F6B	1.5	400	3
10129	4	ju86Z	UTIB2	1.5	78	1
10130	13	PeJEH	6ZHK0	1.6	410	3
10131	16	jzcsh	JN0Xk	1.6	318	3
10132	13	c8KkE	AHKaL	2.4	103	2
10133	5	iEVQj	BPlXs	2.4	99	3
10134	17	Ooy0f	PqxQy	1.5	81	1
10135	18	stiSX	W1eJ5	1.5	19	3
10136	7	SiqCi	Js7sP	4.2	27	2
10137	17	ocvJJ	R0Wt4	4.2	299	1
10138	12	r9UbF	pnBjC	4.3	347	3
10139	20	S1ktI	OOpWq	4.3	48	2
10140	10	bJVYs	Vk6SP	3.8	497	3
10141	12	MtSVX	QJtml	3.8	456	3
10142	6	1Hk5R	zFLY2	4.6	498	2
10143	16	4UDhI	DitDb	4.6	370	3
10144	4	7cIx5	N6IFs	4.8	386	1
10145	10	5BsSP	lkLCs	4.8	39	3
10146	11	AR5ws	xUPWn	2.1	74	1
10147	12	E7aIy	roVcN	2.1	102	3
10148	14	o3S6U	xmBgL	1.8	64	2
10149	5	HJmSP	EP1Dw	1.8	424	3
10150	7	zseg2	e2iqI	1	284	3
10151	8	1lnQH	i147J	1	32	3
10152	7	aayNj	NaLrm	2.5	374	3
10153	12	Mq0SK	Xg9Ru	2.5	179	2
10154	10	R6eNN	8wZvS	4.4	367	3
10155	2	fWfdm	mIoIm	4.4	81	1
10156	10	HiXah	6JqjF	1.7	468	2
10157	9	ZBfx0	Jz19d	1.7	197	3
10158	9	7YiYr	9pudd	1.3	202	2
10159	15	LSQz1	LWV2U	1.3	336	3
10160	17	xzIsW	akFAK	1.6	221	1
10161	1	BHjLu	f9QrG	1.6	490	3
10162	6	jtRIL	Auf4K	4.9	453	2
10163	17	Gzle3	TB7Cj	4.9	199	2
10164	4	VEWkI	P7ryQ	1.8	192	1
10165	12	fv6vY	UWghC	1.8	317	2
10166	14	Bt1xt	jQyv0	1.8	66	1
10167	4	eOOag	ONy4r	1.8	103	2
10168	2	0Zcmv	zEMkW	2.9	38	2
10169	14	8zU0Y	hIOIw	2.9	64	1
10170	11	Zklep	Rqcyj	2.5	468	3
10171	14	6O4gi	JXcU9	2.5	312	3
10172	18	5mS0h	JNPnd	3.1	169	3
10173	18	n7iUg	7he45	3.1	405	3
10174	10	YSTKX	5nIhh	2	149	3
10175	2	Np479	QgVJf	2	82	2
10176	16	omVYF	wUDNI	3.9	264	2
10177	15	JMGm3	85tcg	3.9	368	2
10178	17	zZnRW	xIuhL	1.4	436	3
10179	5	dm8eN	G9BYo	1.4	279	2
10180	8	QVp65	DWEZh	3.9	406	2
10181	1	8CqgF	Rt72M	3.9	58	3
10182	8	SSYVG	CEnka	3.7	479	3
10183	7	Yhtvs	vtuND	3.7	253	1
10184	6	ysSxo	K2Dmb	3.2	24	3
10185	19	MzQF1	076m9	3.2	305	2
10186	10	eSmFR	QqAVG	2.2	431	1
10187	14	vAE9p	JZ4Mi	2.2	421	1
10188	4	byhun	pycQM	2.3	34	3
10189	3	YaY6I	rzMK2	2.3	272	1
10190	7	jv0mq	dTkNa	3.2	36	3
10191	4	4afua	hPdAS	3.2	153	1
10192	11	mORtZ	7gKr0	4.2	26	2
10193	2	sbLWs	xX0ox	4.2	200	3
10194	12	PUwXR	yMQQb	2.3	290	1
10195	1	uzSeW	ZXkzW	2.3	393	3
10196	8	VspxI	gN2vR	2.9	380	2
10197	11	09Nq0	8InH4	2.9	84	2
10198	19	oUwz5	pVog0	4.8	369	2
10199	1	aWgIi	bXs5C	4.8	93	3
10200	9	yY3go	TEc5H	2.2	341	2
10201	10	EJKq6	pYrdB	2.2	21	2
10202	3	5DpQ5	oa8BH	1.1	466	3
10203	14	IPz9S	NmNlW	1.1	22	3
10204	10	WYmUA	7amj4	2.8	346	1
10205	7	mCbMr	xx25M	2.8	222	3
10206	5	lkS6s	GCseS	2.7	297	1
10207	3	tpRCZ	iGXwo	2.7	325	1
10208	11	iJafW	G7dNR	3.3	127	1
10209	10	UW5je	fnQ29	3.3	147	1
10210	8	gki6u	t6OYF	3.5	200	1
10211	3	HAXUn	bj9hv	3.5	136	1
10212	12	fgzMe	tTQF7	2.6	64	2
10213	6	CNQpk	pcPtc	2.6	34	2
10214	6	stE3q	k9vGk	2.8	370	2
10215	11	GY0nl	2r8Yv	2.8	302	2
10216	19	OV99D	ysf77	4.3	426	1
10217	18	BARpU	kJDc8	4.3	457	2
10218	5	wPCg7	LSD9Y	2.2	358	2
10219	2	xbsYL	KhM2L	2.2	148	1
10220	18	JgAHK	QFxvo	2	224	3
10221	16	YRSps	ETknl	2	30	3
10222	3	tH9Yg	cE9yn	5	98	1
10223	9	rCmUy	3pI20	5	292	2
10224	17	Ho0gz	B4r25	4.1	441	1
10225	6	9SXBy	JXqQ5	4.1	182	2
10226	13	4Hdse	XMGCW	3.3	145	1
10227	12	Mekwq	747sf	3.3	71	3
